,step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
1777056,162,1,183806.32,19391.0,0.0,382572.19,566378.51,0
1350600,137,3,521.37,0.0,0.0,0.0,0.0,0
1991933,179,3,3478.18,19853.0,16374.82,0.0,0.0,0
5092368,355,3,1716.05,5769.17,4053.13,0.0,0.0,0
5066515,354,0,253129.93,1328499.49,1581629.42,2713220.48,2460090.55,0
4400356,321,3,24768.57,21573.0,0.0,0.0,0.0,0
4205988,305,1,124718.38,0.0,0.0,2482527.99,2607246.37,0
1923494,167,3,1464.13,60483.0,59018.87,0.0,0.0,0
5638026,396,4,353783.72,0.0,0.0,1639764.23,1993547.95,0
4841646,347,0,266999.97,7411271.89,7678271.86,386812.88,119812.91,0
291123,15,0,53230.73,895081.62,948312.35,7015146.49,6961915.77,0
3300752,252,1,195227.91,0.0,0.0,1256726.0,1451953.91,0
756978,38,1,39108.07,0.0,0.0,2484800.84,2523908.91,0
3633784,274,1,417787.06,36702.0,0.0,0.0,417787.06,0
846906,41,2,819.35,274494.0,273674.65,923509.57,924328.92,0
1878694,164,3,4017.63,10306.0,6288.37,0.0,0.0,0
1970576,178,3,14691.54,0.0,0.0,0.0,0.0,0
3712811,277,1,239121.18,0.0,0.0,250452.44,489573.62,0
3734484,278,1,3167.66,62536.0,59368.34,0.0,0.0,0
681828,36,1,270566.57,6494.0,0.0,0.0,586645.37,0
6062236,503,3,9608.56,26809.0,17200.44,0.0,0.0,0
4394814,321,3,180.04,21007.0,20826.96,0.0,0.0,0
5132080,356,3,834.62,20508.0,19673.38,0.0,0.0,0
6014023,449,1,219979.57,50068.0,0.0,48281.99,268261.56,0
4214559,305,1,258953.67,3617.29,0.0,509480.49,768434.16,0
5278034,372,1,124885.22,0.0,0.0,11406286.43,11531171.65,0
4764113,334,0,198887.55,7453814.02,7652701.56,737163.77,538276.22,0
5570673,393,3,17968.47,0.0,0.0,0.0,0.0,0
5653034,396,1,57701.37,276.0,0.0,0.0,57701.37,0
2466322,203,1,147803.6,73820.0,0.0,249358.35,397161.96,0
1714935,160,1,200330.14,387.0,0.0,3079166.74,3321302.8,0
74786,10,1,377275.45,0.0,0.0,2072427.97,2266894.08,0
83589,10,3,3950.45,0.0,0.0,0.0,0.0,0
4724864,332,3,17678.74,0.0,0.0,0.0,0.0,0
4368285,310,1,97315.53,154925.0,57609.47,34596.08,131911.61,0
1173915,132,3,22173.62,0.0,0.0,0.0,0.0,0
726834,37,0,221420.51,6648016.21,6869436.72,1042561.5,821141.0,0
770462,39,1,629431.23,214049.0,0.0,1163.54,630594.77,0
1068864,121,3,5521.12,51674.0,46152.88,0.0,0.0,0
3808697,281,3,2904.77,2041.0,0.0,0.0,0.0,0
5450493,379,1,274751.1,55268.44,0.0,0.0,274751.1,0
1292147,135,0,116940.06,8006023.41,8122963.47,4174564.42,4057624.36,0
4504670,325,1,21050.76,0.0,0.0,1753480.45,1774531.2,0
3052829,234,1,152046.3,91550.41,0.0,406602.59,558648.89,0
168405,12,1,291182.56,11149.0,0.0,580539.95,871722.51,0
3915038,284,3,1531.71,22881.0,21349.29,0.0,0.0,0
3592595,262,1,13845.29,0.0,0.0,2477960.52,2491805.8,0
2941382,230,3,1188.95,0.0,0.0,0.0,0.0,0
2019112,180,3,12667.7,374871.91,362204.22,0.0,0.0,0
3613872,273,1,65516.41,115018.0,49501.59,0.0,65516.41,0
3487740,258,3,17457.41,0.0,0.0,0.0,0.0,0
1384345,138,3,1015.43,0.0,0.0,0.0,0.0,0
314180,16,0,96067.45,1646219.8,1742287.24,130578.67,443125.3,0
3654631,275,3,1604.03,210409.0,208804.97,0.0,0.0,0
1169614,132,3,14330.33,33848.77,19518.44,0.0,0.0,0
3399389,255,1,229110.92,19919.0,0.0,0.0,229110.92,0
3745947,279,3,14057.22,0.0,0.0,0.0,0.0,0
5266279,372,3,14167.99,0.0,0.0,0.0,0.0,0
5074391,355,1,138340.69,58350.59,0.0,687441.78,825782.46,0
1669298,158,3,9021.0,105202.0,96181.0,0.0,0.0,0
4998242,353,0,85955.34,157044.0,242999.34,9356940.48,9270985.14,0
1001048,45,0,132823.81,9132442.11,9265265.92,2725669.69,2592845.88,0
5111141,355,0,422018.23,42596.0,464614.23,5966582.95,5895065.75,0
1849079,163,1,109480.44,35608.0,0.0,414605.48,524085.92,0
6287721,661,1,386838.1,0.0,0.0,4301043.7,4687881.8,0
80530,10,0,306069.37,30735.0,336804.37,32902.0,0.0,0
4992055,352,1,84782.1,105294.0,20511.9,325520.54,410302.64,0
3491452,258,0,87999.13,5084256.68,5172255.81,11698441.45,11725918.02,0
6239088,595,3,5733.6,20870.0,15136.4,0.0,0.0,0
380038,17,3,3842.48,20043.0,16200.52,0.0,0.0,0
2082668,182,3,8772.84,31132.0,22359.16,0.0,0.0,0
5380803,376,3,5038.94,2662.0,0.0,0.0,0.0,0
4342296,308,3,32728.65,27874.0,0.0,0.0,0.0,0
5639055,396,0,519426.69,16722458.72,17241885.4,4663069.38,4143642.69,0
66542,9,1,406693.65,0.0,0.0,496364.06,984424.07,0
1370667,138,0,351916.36,8083.0,359999.36,43059.3,0.0,0
1532340,154,3,1926.85,607.0,0.0,0.0,0.0,0
2811135,225,3,3202.17,732.0,0.0,0.0,0.0,0
6099303,522,1,144743.02,6017.0,0.0,644477.61,789220.62,0
1140327,131,3,853.36,1062.0,208.64,0.0,0.0,0
3123674,236,3,4986.64,0.0,0.0,0.0,0.0,0
5089953,355,1,62040.38,0.0,0.0,2211814.58,2273854.97,0
604692,34,1,4740.25,0.0,0.0,486820.52,301703.03,0
1746685,161,1,149869.26,50856.0,0.0,223911.52,651220.0,0
1149333,131,1,20304.22,31432.0,11127.78,12100.36,32404.59,0
682260,36,4,555624.58,147.0,0.0,164.23,693416.92,0
2405780,202,3,12819.63,0.0,0.0,0.0,0.0,0
853967,41,4,1028852.71,20246.0,0.0,1041815.86,2070668.57,0
6000781,426,0,283.6,5996440.38,5996723.97,1696189.39,1695905.79,0
1343812,137,0,230630.03,3441454.26,3672084.3,979521.53,748891.49,0
5540115,382,3,19578.16,5091.0,0.0,0.0,0.0,0
4274835,307,3,785.1,193137.28,192352.18,0.0,0.0,0
2119971,183,3,17899.13,11692.0,0.0,0.0,0.0,0
6137344,544,0,82914.11,11220.0,94134.11,373996.4,291082.29,0
3580791,261,1,105677.03,0.0,0.0,2456909.13,2562586.16,0
2537775,205,1,273064.49,0.0,0.0,1288210.57,1561275.07,0
3452687,257,3,5130.06,18605.39,13475.33,0.0,0.0,0
1226875,133,3,29175.35,40169.0,10993.65,0.0,0.0,0
640299,35,1,21391.53,42287.0,20895.47,0.0,21391.53,0
3681061,276,1,81595.54,20791.0,0.0,17605.25,99200.79,0
6079329,520,3,29577.2,153200.0,123622.8,0.0,0.0,0
131034,11,1,253979.48,10760.0,0.0,468545.46,722524.93,0
1024431,48,3,9554.61,0.0,0.0,0.0,0.0,0
5918555,404,1,25634.56,0.0,0.0,203974.01,229608.56,0
3181761,239,4,213399.85,94501.0,0.0,4928202.9,5141602.75,0
3478340,258,3,13195.74,0.0,0.0,0.0,0.0,0
5517460,380,1,245481.3,0.0,0.0,699504.78,944986.08,0
5376328,376,1,173663.28,185.0,0.0,7831.0,181494.29,0
5549013,382,0,174230.84,20723.0,194953.84,0.0,0.0,0
5685500,397,4,704477.84,0.0,0.0,1268527.8,1973005.63,0
1518387,153,0,21310.21,20668.0,41978.21,88082.21,66772.0,0
